iter	Passed	Remaining
1210	197882	619137
1211	198053	618998
1212	198213	618826
1213	198382	618678
1214	198531	618470
1215	198696	618311
1216	198856	618138
1217	199024	617990
1218	199181	617807
1219	199348	617653
1220	199500	617454
1221	199670	617311
1222	199811	617079
1223	199976	616922
1224	200132	616736
1225	200298	616579
1226	200459	616409
1227	200634	616279
1228	200797	616116
1229	200966	615971
1230	201127	615800
1231	201292	615641
1232	201464	615503
1233	201631	615351
1234	201791	615178
1235	201984	615104
1236	202150	614950
1237	202316	614793
1238	202479	614627
1239	202653	614496
1240	202809	614310
1241	202965	614125
1242	203127	613957
1243	203294	613805
1244	203458	613642
1245	203631	613508
1246	203792	613340
1247	203949	613156
1248	204125	613030
1249	204294	612882
1250	204455	612713
1251	204614	612535
1252	204787	612400
1253	204957	612257
1254	205123	612100
1255	205292	611955
1256	205479	611861
1257	205654	611733
1258	205818	611571
1259	205976	611389
1260	206126	611186
1261	206297	611044
1262	206451	610853
1263	206618	610701
1264	206786	610551
1265	206945	610374
1266	207108	610208
1267	207279	610067
1268	207446	609915
1269	207615	609769
1270	207777	609601
1271	207936	609422
1272	208097	609253
1273	208268	609113
1274	208430	608943
1275	208598	608793
1276	208760	608627
1277	208925	608465
1278	209086	608297
1279	209249	608130
1280	209412	607967
1281	209575	607801
1282	209729	607610
1283	209895	607454
1284	210065	607308
1285	210235	607163
1286	210394	606988
1287	210557	606825
1288	210719	606656
1289	210891	606518
1290	211050	606340
1291	211224	606206
1292	211377	606014
1293	211549	605874
1294	211703	605684
1295	211860	605503
1296	212014	605311
1297	212172	605133
1298	212336	604971
1299	212519	604861
1300	212691	604723
1301	212862	604580
1302	213035	604445
1303	213196	604274
1304	213357	604103
1305	213522	603945
1306	213683	603773
1307	213847	603611
1308	213998	603414
1309	214162	603251
1310	214318	603067
1311	214485	602914
1312	214660	602782
1313	214827	602628
1314	214991	602466
1315	215152	602295
1316	215306	602105
1317	215469	601942
1318	215626	601761
1319	215785	601584
1320	215952	601430
1321	216119	601276
1322	216282	601110
1323	216449	600956
1324	216609	600784
1325	216780	600641
1326	216946	600486
1327	217123	600358
1328	217276	600165
1329	217447	600023
1330	217608	599853
1331	217761	599661
1332	217916	599474
1333	218075	599299
1334	218231	599113
1335	218406	598981
1336	218569	598817
1337	218723	598627
1338	218887	598468
1339	219050	598302
1340	219211	598130
1341	219381	597986
1342	219548	597832
1343	219715	597679
1344	219877	597511
1345	220036	597334
1346	220191	597147
1347	220360	597001
1348	220521	596828
1349	220683	596662
1350	220825	596440
1351	220998	596303
1352	221143	596091
1353	221297	595901
1354	221451	595712
1355	221616	595553
1356	221754	595322
1357	221903	595119
1358	222063	594946
1359	222218	594760
1360	222368	594561
1361	222530	594396
1362	222685	594209
1363	222848	594045
1364	223006	593867
1365	223171	593709
1366	223330	593532
1367	223499	593384
1368	223660	593215
1369	223816	593032
1370	223986	592886
1371	224160	592751
1372	224319	592576
1373	224490	592433
1374	224646	592250
1375	224814	592098
1376	224980	591941
1377	225140	591769
1378	225302	591601
1379	225471	591453
1380	225626	591267
1381	225790	591106
1382	225949	590931
1383	226112	590767
1384	226266	590579
1385	226436	590434
1386	226598	590267
1387	226768	590119
1388	226933	589962
1389	227100	589808
1390	227268	589657
1391	227435	589501
